((27.751189, 111.329628), 141)
((27.751247, 111.329623), 141)
((27.75129, 111.329616), 141)
((27.751354, 111.329621), 142)
((27.751425, 111.329594), 142)
((27.75149, 111.329615), 141)
((27.751567, 111.329643), 141)
((27.751625, 111.329618), 141)
((27.751694, 111.329624), 141)
((27.751759, 111.329638), 141)
((27.751817, 111.329628), 142)
((27.751873, 111.329605), 143)
((27.751941, 111.329607), 143)
((27.751988, 111.329625), 143)
((27.752065, 111.329665), 143)
((27.752133, 111.329654), 142)
((27.752201, 111.329664), 141)
((27.752258, 111.329634), 141)
((27.752308, 111.32959), 142)
((27.752374, 111.329589), 143)
((27.752423, 111.32959), 143)
((27.752472, 111.329592), 142)
((27.752534, 111.329583), 142)
((27.752585, 111.329575), 142)
((27.752665, 111.329575), 141)
((27.752725, 111.329595), 141)
((27.752796, 111.329629), 140)
((27.752869, 111.329628), 140)
((27.752928, 111.329632), 140)
((27.753002, 111.329654), 140)
((27.753063, 111.329678), 139)
((27.753119, 111.329697), 139)
((27.753166, 111.329708), 138)
((27.753226, 111.32972), 138)
((27.753284, 111.329742), 138)
((27.753347, 111.329757), 138)
((27.753404, 111.329771), 137)
((27.753463, 111.32979), 137)
((27.753515, 111.329812), 137)
((27.753568, 111.329834), 137)
((27.753633, 111.329851), 137)
((27.753695, 111.32986), 137)
((27.753751, 111.329878), 136)
((27.753801, 111.329886), 137)
((27.753852, 111.329901), 137)
((27.753919, 111.329965), 136)
((27.753996, 111.329971), 136)
((27.754044, 111.32999), 133)
((27.7541, 111.329986), 133)
((27.754158, 111.330004), 133)
((27.754202, 111.330015), 133)
((27.754266, 111.330038), 133)
((27.754292, 111.330043), 129)
((27.754312, 111.330065), 129)
((27.754338, 111.330074), 124)
((27.754362, 111.330052), 108)
((27.75439, 111.330053), 108)
((27.754423, 111.330052), 108)
((27.754461, 111.330048), 110)
((27.754502, 111.330038), 111)
((27.754542, 111.330022), 112)
((27.754578, 111.329998), 113)
((27.754609, 111.329962), 113)
((27.75461, 111.329888), 113)
((27.754615, 111.329832), 113)
((27.754625, 111.329776), 112)
((27.754625, 111.329717), 112)
((27.754633, 111.329637), 112)
((27.754628, 111.329569), 113)
((27.754628, 111.329481), 113)
((27.754632, 111.329416), 113)
((27.75463, 111.329341), 113)
((27.754626, 111.329276), 113)
((27.754627, 111.329203), 113)
((27.754627, 111.329129), 113)
((27.754634, 111.329051), 114)
((27.754638, 111.328971), 115)
((27.754628, 111.328894), 116)
((27.754616, 111.328829), 116)
((27.754615, 111.328751), 115)
((27.754606, 111.328668), 115)
((27.754609, 111.328585), 114)
((27.754615, 111.328504), 113)
((27.754624, 111.328404), 112)
((27.754616, 111.328324), 112)
((27.75462, 111.328239), 112)
((27.754617, 111.328154), 110)
((27.754613, 111.328059), 109)
((27.754615, 111.327969), 110)
((27.754627, 111.327859), 111)
((27.754622, 111.327765), 114)
((27.75463, 111.327684), 115)
((27.75463, 111.327587), 115)
((27.754629, 111.327495), 116)
((27.754633, 111.327396), 116)
((27.75463, 111.327296), 116)
((27.75463, 111.327202), 116)
((27.754628, 111.327118), 116)
((27.754628, 111.327035), 118)
((27.754622, 111.326932), 120)
((27.754624, 111.32683), 121)
((27.754619, 111.326729), 121)
((27.754615, 111.326634), 121)
((27.754612, 111.326543), 121)
((27.75461, 111.326448), 121)
((27.754611, 111.32635), 123)
((27.754617, 111.326246), 124)
((27.754614, 111.32615), 125)
((27.754609, 111.326048), 125)
((27.75462, 111.325947), 126)
((27.754623, 111.325848), 127)
((27.754616, 111.325745), 128)
((27.754625, 111.325631), 128)
((27.754614, 111.325515), 128)
((27.754638, 111.325411), 128)
((27.754653, 111.32531), 128)
((27.754713, 111.325185), 128)
((27.754734, 111.325082), 128)
((27.754758, 111.324973), 126)
((27.754795, 111.324866), 125)
((27.754857, 111.324738), 125)
((27.754896, 111.324634), 125)
((27.754932, 111.324538), 125)
((27.754962, 111.324441), 125)
((27.755005, 111.324334), 128)
((27.755054, 111.32422), 128)
((27.755075, 111.324135), 131)
((27.755112, 111.324038), 134)
((27.75516, 111.323939), 135)
((27.755166, 111.323859), 136)
((27.755179, 111.323779), 137)
((27.755207, 111.323679), 137)
((27.755221, 111.323589), 136)
((27.755213, 111.32351), 136)
((27.755221, 111.323408), 137)
((27.755242, 111.323311), 137)
((27.755242, 111.323214), 137)
((27.755251, 111.323106), 137)
((27.755239, 111.323002), 138)
((27.75525, 111.322904), 138)
((27.755249, 111.322801), 139)
((27.755241, 111.322698), 138)
((27.755223, 111.322605), 138)
((27.755207, 111.322512), 137)
((27.755191, 111.322381), 136)
((27.755196, 111.322293), 136)
((27.755194, 111.322195), 136)
((27.75517, 111.322087), 135)
((27.755179, 111.321994), 135)
((27.755196, 111.32189), 136)
((27.755197, 111.321805), 136)
((27.755214, 111.321682), 136)
((27.755222, 111.321586), 136)
((27.755226, 111.321498), 136)
((27.755249, 111.321403), 136)
((27.755246, 111.321309), 136)
((27.755268, 111.32122), 136)
((27.755276, 111.32112), 135)
((27.755274, 111.321024), 135)
((27.755292, 111.320929), 134)
((27.75526, 111.320818), 132)
((27.755261, 111.320734), 131)
((27.755244, 111.320641), 130)
((27.755242, 111.320549), 130)
((27.75525, 111.320445), 130)
((27.755259, 111.320358), 131)
((27.755262, 111.32027), 132)
((27.755259, 111.320174), 133)
((27.755257, 111.320088), 135)
((27.75525, 111.320001), 137)
((27.755249, 111.319928), 138)
((27.755268, 111.319853), 138)
((27.755305, 111.319809), 138)
((27.755344, 111.319788), 138)
((27.755399, 111.319767), 139)
((27.755477, 111.319745), 140)
((27.755538, 111.31974), 141)
((27.755586, 111.319763), 141)
((27.755649, 111.31977), 141)
((27.755727, 111.319758), 142)
((27.755821, 111.319768), 142)
((27.755883, 111.319772), 142)
((27.755935, 111.319788), 142)
((27.755999, 111.319784), 143)
((27.756069, 111.319781), 143)
((27.75615, 111.319778), 143)
((27.756203, 111.319799), 143)
((27.756274, 111.3198), 144)
((27.756347, 111.319798), 144)
((27.756409, 111.319805), 144)
((27.756482, 111.319821), 144)
((27.75655, 111.319818), 144)
((27.756609, 111.319812), 144)
((27.75668, 111.319819), 144)
((27.756751, 111.319832), 144)
((27.756826, 111.319819), 144)
((27.756885, 111.319811), 144)
((27.756952, 111.319811), 144)
((27.757022, 111.319823), 145)
((27.757102, 111.319829), 145)
((27.757162, 111.319817), 145)
((27.75722, 111.319826), 145)
((27.757299, 111.319826), 145)
((27.757354, 111.319832), 146)
((27.757411, 111.319843), 146)
((27.75748, 111.319853), 146)
((27.757556, 111.319852), 146)
((27.757619, 111.319848), 146)
((27.757691, 111.319825), 147)
((27.757758, 111.31983), 147)
((27.757824, 111.319816), 155)
((27.757888, 111.319806), 157)
((27.757947, 111.319793), 157)
((27.758027, 111.319772), 157)
((27.758097, 111.319773), 156)
((27.758201, 111.319788), 156)
((27.758285, 111.319832), 156)
((27.758351, 111.319814), 156)
((27.758406, 111.319809), 156)
((27.758473, 111.319817), 154)
((27.758532, 111.31981), 153)
((27.758592, 111.319807), 153)
((27.758656, 111.319812), 153)
((27.758719, 111.319799), 151)
((27.75879, 111.319806), 150)
((27.758841, 111.319801), 150)
((27.758904, 111.319791), 150)
((27.758985, 111.319764), 150)
((27.759052, 111.319748), 149)
((27.759117, 111.319744), 148)
((27.759181, 111.319744), 147)
((27.759241, 111.319744), 146)
((27.759315, 111.319739), 146)
((27.759373, 111.319731), 146)
((27.75946, 111.319707), 145)
((27.759547, 111.319692), 145)
((27.75963, 111.319688), 145)
((27.759717, 111.319692), 145)
((27.759806, 111.319696), 145)
((27.759894, 111.319698), 145)
((27.759985, 111.319702), 145)
((27.760044, 111.319714), 146)
((27.760114, 111.31969), 147)
((27.76018, 111.31969), 148)
((27.760252, 111.319701), 148)
((27.76033, 111.319705), 149)
((27.760417, 111.319747), 149)
((27.760478, 111.319745), 150)
((27.760548, 111.319743), 150)
((27.76062, 111.319741), 152)
((27.760687, 111.31975), 152)
((27.760736, 111.319762), 153)
((27.760797, 111.319755), 154)
((27.760861, 111.319722), 155)
((27.76091, 111.319719), 155)
((27.760954, 111.319717), 155)
((27.761001, 111.319708), 155)
((27.761077, 111.319715), 156)
((27.761125, 111.319729), 156)
((27.761169, 111.319749), 156)
((27.761219, 111.319754), 156)
((27.761254, 111.31977), 156)
((27.76129, 111.319768), 156)
((27.761325, 111.319778), 156)
((27.761374, 111.319802), 156)
((27.761414, 111.319802), 156)
((27.761464, 111.319828), 156)
((27.761509, 111.319845), 156)
((27.761565, 111.319858), 156)
((27.761613, 111.319882), 156)
((27.761653, 111.319915), 156)
((27.76169, 111.319956), 156)
((27.761725, 111.319977), 156)
((27.761771, 111.320016), 152)
((27.761821, 111.320053), 151)
((27.761853, 111.320096), 151)
((27.761891, 111.320146), 150)
((27.761931, 111.320189), 150)
((27.761979, 111.320249), 149)
((27.762018, 111.320292), 149)
((27.762069, 111.320338), 149)
((27.762113, 111.320373), 149)
((27.762152, 111.320413), 149)
((27.762201, 111.320456), 150)
((27.762241, 111.320498), 150)
((27.762275, 111.320516), 149)
((27.762303, 111.320541), 150)
((27.762328, 111.32056), 151)
((27.762363, 111.320611), 152)
((27.762407, 111.320652), 153)
((27.762451, 111.320679), 153)
((27.762494, 111.320713), 153)
((27.762533, 111.32074), 154)
((27.762574, 111.320761), 154)
((27.76262, 111.320805), 154)
((27.762671, 111.320817), 155)
((27.762719, 111.320846), 156)
((27.762791, 111.320877), 156)
((27.762832, 111.320908), 157)
((27.762887, 111.320949), 157)
((27.762932, 111.32098), 158)
((27.762988, 111.320986), 158)
((27.763038, 111.321005), 158)
((27.763091, 111.321028), 158)
((27.763136, 111.321048), 158)
((27.763189, 111.321081), 158)
((27.763241, 111.321093), 155)
((27.763306, 111.321127), 155)
((27.763371, 111.321165), 154)
((27.763413, 111.321178), 154)
((27.763472, 111.321193), 154)
((27.763526, 111.321217), 154)
((27.763595, 111.321263), 154)
((27.763648, 111.321282), 152)
((27.763694, 111.321295), 152)
((27.763752, 111.321319), 153)
((27.763808, 111.321341), 152)
((27.763866, 111.321365), 151)
((27.763929, 111.321388), 151)
((27.76399, 111.321418), 150)
((27.764054, 111.321467), 150)
((27.764113, 111.321507), 150)
((27.764176, 111.321554), 148)
((27.764233, 111.321585), 149)
((27.76429, 111.32163), 148)
((27.764344, 111.321673), 147)
((27.764398, 111.321723), 147)
((27.76445, 111.321773), 146)
((27.764498, 111.321822), 146)
((27.764548, 111.321877), 145)
((27.764595, 111.321932), 144)
((27.764643, 111.321986), 144)
((27.764687, 111.322036), 143)
((27.764733, 111.322095), 143)
((27.76478, 111.322146), 143)
((27.764829, 111.322192), 142)
((27.764878, 111.322246), 142)
((27.764935, 111.322303), 142)
((27.764981, 111.322363), 142)
((27.765031, 111.322414), 142)
((27.76509, 111.322471), 141)
((27.765151, 111.32252), 140)
((27.765208, 111.322577), 139)
((27.765261, 111.322617), 138)
((27.765321, 111.322665), 137)
((27.765373, 111.322702), 136)
((27.76543, 111.32274), 136)
((27.765491, 111.322775), 135)
((27.765555, 111.322815), 135)
((27.765625, 111.322848), 135)
((27.765697, 111.322878), 135)
((27.765759, 111.322897), 136)
((27.765833, 111.322928), 136)
((27.765898, 111.32295), 135)
((27.765969, 111.32296), 135)
((27.766038, 111.322971), 135)
((27.766126, 111.322974), 135)
((27.766199, 111.322994), 136)
((27.766259, 111.32301), 136)
((27.766335, 111.323032), 136)
((27.766404, 111.323027), 136)
((27.766477, 111.323032), 136)
((27.766542, 111.323029), 136)
((27.766618, 111.323029), 136)
((27.766687, 111.323029), 136)
((27.766777, 111.323032), 137)
((27.766847, 111.323026), 137)
((27.76693, 111.323022), 136)
((27.766994, 111.323025), 136)
((27.767056, 111.323022), 136)
((27.767115, 111.323022), 136)
((27.767159, 111.323039), 136)
((27.76724, 111.323045), 135)
((27.767319, 111.323043), 135)
((27.767393, 111.323037), 135)
((27.767484, 111.323013), 135)
((27.76755, 111.323031), 136)
((27.767624, 111.323035), 136)
((27.767717, 111.323035), 135)
((27.767796, 111.323022), 133)
((27.767867, 111.323024), 132)
((27.767932, 111.323014), 132)
((27.768005, 111.323017), 132)
((27.76808, 111.323019), 131)
((27.768143, 111.323038), 131)
((27.768215, 111.32305), 131)
((27.768278, 111.323062), 129)
((27.76835, 111.323069), 129)
((27.768422, 111.323082), 128)
((27.768497, 111.323095), 128)
((27.768557, 111.323104), 127)
((27.768633, 111.323119), 127)
((27.768719, 111.323101), 125)
((27.7688, 111.323108), 123)
((27.768875, 111.32311), 123)
((27.768944, 111.323107), 123)
((27.76901, 111.32311), 123)
((27.769102, 111.323081), 122)
((27.769168, 111.323086), 121)
((27.769242, 111.323085), 118)
((27.769314, 111.323084), 115)
((27.76939, 111.32308), 114)
((27.769463, 111.323103), 113)
((27.769539, 111.323119), 112)
((27.769631, 111.323125), 112)
((27.769711, 111.323126), 110)
((27.769804, 111.323105), 109)
((27.769888, 111.323097), 108)
((27.769986, 111.323083), 108)
((27.770078, 111.323064), 107)
((27.770182, 111.323046), 106)
((27.7703, 111.323047), 105)
((27.770401, 111.323023), 105)
((27.770497, 111.323041), 105)
((27.7706, 111.323015), 105)
((27.770717, 111.323007), 105)
